age,workclass,fnlwgt,education,martial_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,Class
9,81,58,0,1,33,3,1,1,4,6,26,57,0
6,69,29,2,0,12,1,1,0,80,4,78,41,0
8,22,11,10,5,57,2,3,1,30,28,68,90,0
4,57,24,7,3,91,4,1,0,47,39,95,69,0
1,64,33,15,1,80,4,3,0,74,25,8,14,0
7,57,27,13,5,80,2,4,1,14,13,48,99,1
6,27,72,10,3,35,1,0,0,93,29,8,55,1
7,42,10,10,6,74,4,1,1,25,26,82,66,0
1,21,1,9,2,33,4,3,1,2,4,9,41,1
3,49,1,0,6,74,0,4,0,12,31,17,69,1
2,8,55,5,5,18,4,0,0,89,1,27,5,0
6,22,74,7,3,11,0,0,1,3,12,80,87,0
8,96,12,10,4,36,3,3,0,26,30,9,87,0
2,91,59,14,4,91,1,1,1,23,25,86,24,0
9,48,8,13,0,56,4,0,1,46,26,31,59,0
3,8,72,10,5,72,5,3,1,23,35,79,93,1
2,48,70,5,3,45,5,2,0,61,15,10,44,1
6,69,27,15,2,47,1,3,0,70,15,36,74,1
8,31,73,13,6,33,3,4,0,27,38,29,75,0
7,58,53,0,4,5,4,2,1,37,21,65,77,1
2,74,8,9,3,29,1,2,1,83,35,91,22,0
5,48,59,2,0,11,2,2,0,13,10,22,92,0
1,89,55,12,5,88,3,4,1,93,1,61,55,1
5,10,55,11,1,57,4,1,1,58,17,27,64,0
4,40,49,9,0,13,1,4,0,2,36,36,11,0
8,85,55,3,2,63,4,3,0,67,26,94,23,0
4,57,38,14,4,23,3,0,0,70,16,62,9,1
3,39,1,5,1,14,1,3,1,33,21,70,41,0
5,41,0,11,6,95,3,3,1,55,36,81,64,0
2,76,46,10,3,54,5,0,0,92,0,52,26,1
6,3,61,5,5,90,5,1,0,15,43,68,72,1
3,55,38,12,0,75,1,2,0,50,13,50,22,0
3,97,12,2,5,97,1,4,1,94,13,60,17,0
2,38,46,11,5,51,5,2,1,14,39,7,44,0
9,37,12,12,1,15,5,0,0,31,26,20,55,0
7,8,32,5,6,85,2,1,1,93,10,7,77,1
2,14,56,14,4,63,2,4,0,73,29,85,50,1
4,65,47,3,3,91,0,3,1,6,31,49,95,0
5,54,51,9,1,16,2,2,1,24,31,21,71,0
3,5,8,8,2,94,4,1,0,47,7,4,15,0
1,22,23,9,5,1,4,2,1,69,27,77,60,1
6,12,47,12,4,94,2,0,0,77,4,81,17,1
2,99,48,2,2,10,0,4,1,9,2,29,92,0
6,76,20,14,5,49,3,4,0,23,33,73,40,1
8,74,22,4,0,57,2,0,0,87,8,11,76,1
9,61,45,10,6,58,2,0,0,75,34,34,61,1
6,65,30,6,6,91,1,4,1,79,0,99,6,0
2,17,43,10,0,65,0,4,1,66,0,15,62,1
2,16,48,4,5,29,2,2,1,66,21,12,55,0
6,79,13,1,6,10,1,2,0,12,8,48,25,0
4,97,14,1,4,8,4,2,1,69,5,46,31,1
7,81,2,0,5,50,1,1,0,96,15,18,66,1
2,59,43,15,3,89,5,2,1,34,0,90,49,0
9,22,48,15,0,85,0,1,0,66,31,50,44,1
7,0,58,6,4,73,2,2,1,68,17,45,22,1
9,80,44,4,3,18,4,3,1,69,18,77,95,0
7,66,16,3,5,58,2,0,1,10,34,40,35,0
2,67,32,9,3,28,3,0,1,86,22,44,26,0
9,98,10,1,6,77,3,4,1,47,1,76,75,1
5,26,10,10,6,34,3,4,1,6,13,11,51,1
5,22,63,4,4,74,5,1,0,67,29,68,75,1
8,82,36,12,1,60,4,3,1,43,19,20,76,1
9,52,30,6,4,0,3,1,0,18,17,99,33,1
8,92,69,2,0,17,0,4,1,90,15,51,28,0
4,80,39,7,4,68,3,3,0,83,34,75,81,1
5,98,51,12,4,62,3,2,1,2,31,30,3,0
9,69,7,2,4,75,0,1,0,46,3,60,22,0
9,19,66,11,1,82,4,3,0,5,12,7,55,0
1,40,14,2,1,10,5,3,0,76,42,46,57,0
7,34,7,9,5,29,1,1,0,82,33,33,7,0
6,12,2,14,3,85,5,0,0,48,26,17,63,0
2,68,31,11,6,75,4,0,1,60,29,11,42,0
1,3,52,13,0,23,3,2,0,33,21,72,67,1
6,50,68,6,1,39,5,3,0,12,42,39,21,0
2,93,32,9,6,89,3,0,1,55,37,35,66,0
7,84,41,5,1,11,5,0,1,87,14,41,84,0
8,81,24,12,3,78,2,3,0,25,16,89,42,1
1,17,15,0,4,59,5,2,0,92,40,49,60,0
2,44,48,4,5,74,2,4,1,57,23,39,4,1
4,9,11,9,6,2,1,3,1,59,28,58,71,0
1,47,74,4,6,74,3,0,0,75,7,27,37,1
4,35,42,10,6,98,4,2,0,9,13,45,42,0
1,37,54,12,3,20,4,2,1,94,20,9,17,0
1,92,53,11,1,34,4,3,0,77,21,89,36,1
8,16,14,3,4,18,1,2,0,8,30,53,97,1
1,77,62,15,1,90,0,3,0,97,22,58,89,0
9,30,32,4,4,84,1,0,1,33,39,33,65,1
4,67,23,2,5,99,5,3,1,59,22,57,15,1
9,37,5,12,3,4,1,4,0,98,22,48,74,1
4,37,68,15,6,80,4,0,1,85,24,71,49,1
3,98,27,2,1,15,5,0,0,94,39,73,53,1
1,92,17,2,4,71,2,4,0,85,17,12,53,0
8,17,63,1,6,14,2,3,0,20,35,9,96,1
8,10,62,11,4,6,0,3,1,73,5,60,67,1
3,53,58,3,3,41,3,0,1,18,26,47,78,0
3,2,26,7,2,56,1,4,0,17,18,31,61,0
4,62,74,12,0,10,2,3,0,50,40,20,47,0
9,11,41,1,1,41,3,3,1,92,39,71,20,1
3,71,0,10,3,6,3,3,0,70,4,28,77,0
8,46,71,12,6,70,5,4,1,25,0,53,2,1
3,75,70,2,5,26,0,4,1,48,10,40,23,1
4,95,37,4,6,43,0,4,0,13,39,90,75,0
8,45,23,5,1,20,5,1,1,31,35,31,52,0
6,25,24,7,5,61,5,4,1,0,5,59,52,0
9,84,1,14,5,73,2,1,0,88,22,95,39,1
2,95,1,14,3,4,0,4,1,50,36,59,39,0
4,65,39,4,4,78,2,4,1,8,17,38,82,0
9,49,58,11,4,9,5,1,1,74,38,24,49,1
3,74,10,3,5,83,0,2,1,90,14,27,80,1
3,52,64,5,1,29,3,2,1,43,11,70,6,0
6,74,74,10,3,58,3,2,0,30,2,50,18,0
4,71,38,12,3,71,3,1,1,90,10,11,77,0
8,71,37,3,1,70,0,0,0,59,33,60,97,0
5,12,59,11,2,7,2,4,0,28,4,7,16,1
2,46,74,7,0,65,1,4,0,12,25,86,30,0
3,97,5,12,2,7,1,0,0,78,1,93,6,1
2,39,27,14,4,98,3,2,1,58,1,20,32,0
9,74,0,0,3,62,3,0,1,46,41,43,13,1
2,46,37,7,3,43,3,1,1,95,23,82,1,1
2,52,11,0,5,99,4,3,1,25,0,61,100,1
5,93,65,10,0,58,2,1,1,83,3,57,8,1
3,59,48,6,6,24,3,0,0,1,36,83,36,1
8,30,48,8,1,24,1,2,0,70,1,43,67,1
8,5,24,0,0,34,3,2,1,1,38,40,55,0
9,82,36,10,1,49,0,1,1,68,21,67,69,0
2,81,5,1,2,51,3,3,1,49,4,47,15,0
4,68,18,4,4,80,5,3,0,38,33,56,22,0
4,68,20,7,1,77,4,1,0,46,33,42,97,1
8,29,64,1,3,40,3,4,0,0,4,42,55,0
2,21,27,1,3,2,0,2,1,28,8,3,16,1
9,98,11,10,4,16,0,3,1,74,15,98,97,1
7,57,10,13,0,75,5,2,1,94,28,28,67,1
4,37,58,2,1,77,2,3,1,75,42,17,1,0
7,11,41,6,0,96,1,3,0,27,32,63,17,0
9,16,2,6,3,12,2,0,0,18,25,4,62,1
9,52,34,11,4,42,3,0,1,15,42,86,86,1
5,1,50,5,6,2,0,4,0,31,39,77,25,1
8,8,33,1,1,3,5,1,1,67,6,61,5,1
3,63,6,14,2,64,5,1,1,15,13,90,61,1
5,51,55,9,0,82,2,4,0,51,1,63,22,1
4,62,42,8,2,69,3,1,0,71,18,80,92,1
5,69,14,6,1,13,4,4,0,65,43,19,48,1
1,49,5,5,5,98,0,3,0,56,5,20,73,1
3,65,61,6,2,16,1,3,0,62,13,42,66,1
3,4,62,4,3,99,2,3,0,21,21,4,81,1
8,19,36,3,5,38,4,3,1,82,26,55,23,0
4,52,34,0,0,67,1,1,0,48,26,11,19,1
2,35,65,5,6,76,3,3,1,81,4,46,21,0
4,91,38,0,2,58,4,4,0,84,17,46,2,0
6,79,22,14,0,59,0,3,1,76,34,54,75,0
8,42,37,13,4,7,5,1,1,55,10,99,50,1
3,78,52,3,6,54,1,1,0,8,23,44,24,0
2,25,61,13,2,100,4,4,0,15,31,2,64,0
2,79,7,0,4,47,0,3,1,83,21,5,34,1
7,22,74,1,3,56,4,1,1,48,43,65,99,1
5,50,44,11,0,96,5,2,1,55,4,87,71,1
4,17,63,13,3,43,1,1,0,98,39,88,19,0
8,40,38,15,1,57,5,1,1,0,22,17,3,0
9,18,67,5,5,8,3,1,1,0,24,11,82,0
4,15,40,6,5,39,4,4,1,73,12,8,40,0
9,13,54,13,6,97,0,1,0,9,12,2,8,0
8,98,67,2,1,96,1,1,1,75,41,12,75,1
3,86,13,15,0,94,1,2,1,55,8,41,24,0
5,23,23,6,3,10,2,2,1,83,7,29,89,0
7,1,69,3,2,21,1,4,1,22,16,68,58,0
5,8,8,6,4,72,1,3,0,2,21,11,3,1
8,98,7,12,1,53,3,0,0,5,28,45,81,0
2,82,15,7,4,43,5,3,1,0,22,51,73,1
3,93,37,4,2,54,1,1,0,37,23,76,66,1
1,36,4,0,4,20,0,3,0,85,1,63,12,0
7,20,26,0,2,91,3,4,1,31,17,78,99,1
9,1,20,12,3,24,5,0,1,14,42,83,37,1
7,65,48,6,1,0,2,1,0,4,39,24,24,1
9,8,33,1,6,10,3,0,0,28,34,99,25,1
5,9,74,0,6,54,1,2,0,46,24,87,87,1
8,91,0,8,2,30,2,4,0,15,17,11,6,0
4,98,57,1,0,77,2,4,1,22,16,8,95,0
3,22,10,2,2,28,2,4,0,23,43,27,0,1
1,84,22,10,0,34,4,0,1,42,25,30,2,0
9,5,61,4,0,23,0,4,1,75,37,71,86,1
6,65,33,5,4,98,1,1,0,6,10,32,52,1
4,27,47,0,3,84,1,1,1,99,18,73,15,0
8,27,57,15,2,19,3,3,0,55,22,8,73,0
2,38,64,1,2,83,1,2,0,9,24,24,6,1
3,17,40,13,1,56,2,4,0,29,11,46,96,1
7,40,51,11,4,74,1,0,0,1,19,65,54,1
7,79,50,7,1,6,2,1,0,34,33,54,6,1
2,30,19,2,2,88,2,1,1,62,24,91,84,1
1,99,5,3,3,48,0,2,0,47,40,25,3,1
2,22,47,15,0,82,0,3,0,66,42,65,3,1
4,94,1,2,3,60,1,3,0,69,2,24,1,1
1,100,37,11,0,66,2,4,0,89,30,52,87,1
9,74,57,13,1,79,3,0,0,53,20,99,59,0
5,11,24,11,5,35,3,3,0,32,0,39,81,0
3,95,64,0,1,50,4,2,0,22,7,70,17,1
5,5,21,15,5,89,3,3,1,53,21,12,47,1
3,0,8,5,4,58,5,3,0,95,36,85,36,0
9,61,46,8,6,13,4,3,0,70,16,96,10,1
2,27,12,10,1,92,3,3,0,15,14,68,58,1
5,59,70,1,4,45,5,2,0,30,2,41,4,1
7,31,63,14,4,70,3,0,0,6,35,49,12,0
5,26,63,11,3,77,2,3,1,59,14,20,8,1
9,11,29,7,0,71,5,3,1,90,43,38,15,0
3,71,72,11,2,93,2,0,1,62,13,20,93,1
5,44,73,8,6,46,4,1,0,83,38,4,26,0
6,18,3,4,1,19,4,3,0,27,11,75,47,0
5,69,57,12,5,72,3,0,0,74,3,53,12,1
5,92,7,3,0,11,0,1,1,58,12,77,31,0
3,37,51,7,4,56,3,0,1,91,35,73,98,1
7,24,21,2,1,48,3,2,1,34,18,68,81,1
7,44,59,6,3,35,1,1,1,44,5,45,19,1
8,18,14,10,4,6,2,3,1,40,28,83,76,0
5,96,28,4,0,77,2,1,0,60,16,66,92,0
3,43,50,0,1,26,5,2,1,60,12,22,65,0
5,49,16,0,4,52,5,1,0,40,32,74,95,0
5,91,52,15,5,42,3,0,1,38,20,4,68,1
7,24,12,10,2,63,2,2,1,45,12,42,48,1
9,29,6,12,4,55,3,4,1,50,30,42,10,1
7,46,74,6,1,18,5,1,0,94,29,38,15,0
7,27,7,10,4,90,4,4,1,56,43,81,34,1
5,69,29,3,1,0,0,0,0,82,16,13,82,1
7,20,30,0,4,98,2,0,1,79,10,13,75,0
1,29,11,6,6,28,0,1,0,82,0,76,47,1
4,97,22,6,4,99,4,0,1,49,1,11,43,1
3,68,69,5,1,57,5,2,0,95,30,55,22,1
4,14,9,5,6,71,1,0,0,18,17,39,39,0
3,8,25,2,5,39,4,0,1,44,6,40,43,0
7,15,55,1,5,59,1,2,1,31,31,8,7,1
6,74,14,14,6,95,5,2,0,93,16,72,87,0
4,21,18,0,5,15,4,0,0,56,22,60,23,1
3,29,35,14,6,75,3,2,1,92,13,3,90,0
5,39,34,0,5,76,5,2,0,61,0,61,81,1
7,81,71,3,5,17,5,2,0,79,3,4,88,1
7,79,9,4,0,63,0,1,0,58,1,16,90,1
3,8,48,3,6,83,3,1,1,50,14,45,97,1
8,12,41,7,0,58,4,2,0,78,28,23,76,1
9,66,30,1,3,21,1,2,1,47,21,5,36,1
9,41,28,7,5,37,5,4,0,20,11,34,62,1
8,19,59,2,2,93,4,4,1,17,42,99,94,0
8,44,3,11,1,36,5,1,0,26,35,96,29,1
7,37,68,14,2,3,1,3,1,65,0,8,21,1
3,57,17,14,5,79,1,0,0,2,1,30,69,1
4,25,26,2,0,26,3,2,1,53,35,47,31,1
6,67,30,9,0,33,4,2,0,7,6,39,68,0
4,14,39,3,3,54,0,3,0,91,34,91,25,1
8,37,34,8,5,47,3,0,0,38,12,20,88,0
8,76,24,2,5,44,3,2,0,45,31,8,74,1
7,11,53,7,4,36,1,3,0,15,25,93,64,0
6,14,52,8,6,70,4,1,0,40,28,45,41,1
3,42,10,11,6,11,4,3,0,99,39,31,97,0
7,12,42,8,5,42,3,4,1,92,6,37,67,1
5,40,21,13,1,45,3,4,0,16,24,12,87,0
9,90,28,14,1,90,1,2,1,85,4,54,49,1
2,98,61,4,6,14,1,1,0,31,36,81,31,1
6,55,69,13,5,23,4,4,1,88,29,94,7,1
5,19,33,0,3,71,3,1,0,89,9,9,66,1
1,39,28,9,2,52,0,0,0,66,23,65,93,0
3,80,38,12,2,75,1,2,0,32,22,78,89,1
6,98,57,9,6,90,1,0,1,49,7,33,5,0
9,16,42,8,0,93,3,1,1,16,23,96,7,0
5,41,18,12,5,58,3,0,0,66,28,31,82,1
6,66,25,8,2,95,5,1,1,51,31,55,76,1
1,3,74,11,4,15,1,1,1,41,21,97,40,0
6,89,7,11,6,20,4,3,1,50,24,12,5,0
7,45,53,7,1,3,1,2,0,20,0,40,13,0
5,86,44,4,5,63,0,0,1,84,15,33,32,1
6,67,42,1,2,16,1,3,0,30,2,35,13,1
5,52,58,10,5,67,1,2,1,51,32,37,22,1
8,74,55,14,4,49,0,4,0,74,8,45,16,1
3,50,53,4,1,40,2,3,0,65,42,6,79,0
2,37,31,13,6,6,4,4,1,14,23,74,44,1
7,40,25,3,2,2,2,0,0,98,42,13,79,0
3,36,41,14,3,54,5,4,1,92,21,36,38,1
5,74,0,5,3,98,5,3,1,42,42,41,95,1
5,61,8,15,4,8,3,2,0,90,32,99,99,0
8,50,7,2,6,41,3,4,0,25,1,79,62,0
5,17,0,8,5,38,0,2,1,85,5,45,28,0
2,30,24,12,2,1,5,0,0,6,27,87,73,0
1,43,50,7,5,54,3,2,0,76,32,78,76,1
6,11,48,2,5,0,2,3,1,66,29,56,3,1
7,65,24,4,4,91,5,4,1,75,13,51,75,0
7,42,17,10,6,47,5,0,1,60,22,1,15,0
3,54,54,6,0,82,2,2,1,79,4,52,89,0
1,37,67,12,4,42,4,3,1,4,5,72,58,1
9,58,49,3,0,22,0,4,1,16,5,48,27,1
6,84,47,2,2,11,2,3,1,81,35,58,95,0
5,86,6,15,4,46,3,0,1,42,18,94,56,1
3,28,8,5,4,22,1,3,1,94,34,20,51,0
1,35,65,3,6,14,2,4,0,2,28,53,41,0
9,95,66,7,5,70,5,1,0,51,42,19,51,1
6,5,16,6,4,74,5,3,1,65,1,4,35,0
5,10,2,9,6,48,2,4,1,58,38,5,46,1
6,67,31,11,6,79,5,4,1,54,14,27,30,1
5,90,36,7,3,26,3,2,1,98,1,13,78,0
1,83,35,2,2,17,4,1,1,6,29,97,62,1
2,42,25,8,5,48,0,1,1,56,31,11,77,0
4,5,2,10,1,97,1,4,0,13,24,87,49,0
8,45,44,2,0,49,2,0,1,35,10,86,1,0
1,24,3,12,3,52,1,3,1,30,18,11,75,0
7,34,43,12,6,24,0,1,1,91,22,41,34,1
9,80,45,2,4,48,5,1,0,50,14,33,78,1
8,90,51,3,1,16,4,3,1,32,0,63,88,0
2,24,27,4,2,61,5,2,0,83,10,25,9,0
5,45,68,2,4,30,3,1,1,56,1,3,25,1
6,59,0,2,3,56,4,1,0,58,8,71,54,1
1,71,15,7,3,20,5,2,0,23,43,4,51,1
5,63,60,5,2,22,1,0,1,36,30,90,29,1
2,10,73,10,4,3,4,0,0,63,39,6,74,1
7,47,66,0,2,33,3,4,0,78,34,22,1,1
7,36,45,15,0,5,4,1,0,7,14,90,1,1
5,67,15,9,3,90,5,1,1,37,20,57,82,0
7,31,64,2,1,44,4,3,0,65,2,60,73,1
6,79,35,13,0,77,5,4,1,76,5,79,15,1
9,41,8,14,2,96,4,2,0,68,3,86,93,0
8,65,65,7,1,98,0,2,1,49,3,68,43,1
1,48,6,13,2,52,2,4,1,4,1,84,74,0
8,61,38,5,5,61,5,3,0,35,13,78,97,0
6,17,73,1,0,21,4,1,1,88,14,79,36,0
6,12,67,5,1,93,0,0,0,30,8,8,36,1
7,71,26,7,4,71,5,2,1,89,6,77,3,1
1,13,53,2,4,86,1,2,1,80,15,78,99,0
2,43,16,15,6,59,1,2,1,51,13,47,44,0
2,75,62,13,4,87,5,1,0,46,2,34,80,1
5,84,14,15,4,90,2,3,0,72,24,45,96,1
9,77,49,8,5,51,2,4,0,15,6,11,18,1
7,91,17,9,6,99,3,4,1,88,11,4,36,0
4,32,40,15,6,30,3,4,1,98,23,7,41,0
9,89,68,2,4,24,2,2,0,19,33,59,31,0
9,61,5,1,2,16,5,2,1,96,11,34,42,1
9,81,2,0,5,91,4,2,0,72,39,23,64,1
5,29,66,7,2,25,3,3,0,98,35,22,77,1
9,92,3,0,0,19,3,0,1,21,21,42,99,0
8,58,52,6,6,69,1,2,1,83,41,70,51,1
6,80,6,15,4,56,2,0,1,44,9,22,11,1
7,80,18,9,4,45,2,0,1,35,12,80,61,0
5,88,26,3,5,92,3,2,0,45,7,94,27,0
8,25,6,1,4,95,4,2,0,0,43,55,64,1
2,23,49,14,6,61,1,4,1,94,24,78,70,0
1,81,48,14,5,85,5,2,1,41,6,38,59,0
6,70,27,3,5,92,3,0,0,1,17,71,55,0
2,72,61,2,3,18,1,0,0,27,34,71,43,1
9,33,2,13,2,44,4,4,1,23,13,5,22,1
2,50,16,12,0,74,3,4,0,37,19,48,47,0
1,76,19,13,2,33,2,4,1,26,33,79,23,0
3,38,42,3,3,19,5,0,1,70,38,57,87,1
3,43,13,5,4,28,1,1,0,32,4,44,20,1
7,45,31,12,0,3,1,4,0,50,28,63,83,0
1,2,11,14,4,7,3,0,0,15,39,22,15,0
5,92,34,8,5,89,3,3,1,33,42,8,24,0
6,32,12,13,2,42,2,4,1,71,27,47,28,1
9,80,8,7,6,97,1,0,0,6,42,13,42,1
7,14,73,9,1,75,4,0,1,13,17,38,70,1
4,13,29,8,0,74,0,0,0,26,2,51,93,0
7,18,22,4,3,92,5,4,1,30,25,3,1,1
2,16,33,6,3,33,1,1,1,2,30,29,15,1
6,14,26,6,6,60,0,4,1,95,38,48,88,0
5,21,17,12,1,15,0,3,0,66,27,82,18,1
4,63,24,6,4,53,0,1,1,72,24,57,30,0
7,92,31,12,3,7,2,1,0,17,12,31,85,1
3,52,2,9,1,95,1,4,0,11,13,96,15,0
5,1,49,6,5,25,3,4,1,11,21,27,71,0
5,97,29,14,3,36,0,1,0,80,30,76,91,1
8,29,14,7,6,53,0,2,1,31,28,4,98,0
4,75,8,5,3,54,2,3,0,10,41,61,88,0
2,82,22,8,2,55,2,4,0,58,17,55,25,1
5,93,61,8,1,18,4,2,0,59,32,16,71,1
7,92,44,9,1,55,5,4,0,96,43,45,96,0
3,61,74,15,0,36,1,0,0,28,29,49,56,1
2,37,21,2,4,16,0,4,1,64,38,16,66,0
6,69,44,3,6,47,4,2,0,9,2,6,38,1
5,91,71,9,2,83,5,0,0,85,42,34,35,0
6,93,46,15,5,68,5,2,0,95,22,87,29,1
2,43,66,8,2,7,1,1,0,15,9,48,76,1
7,35,52,7,2,60,1,1,0,5,21,27,76,0
6,77,24,14,3,41,2,2,0,24,9,91,33,0
4,27,53,15,2,74,3,4,1,44,4,9,86,1
7,59,37,0,6,50,2,3,0,46,38,9,65,0
2,25,43,11,4,19,1,1,0,85,43,61,89,1
1,33,55,4,4,70,1,0,0,26,2,49,78,1
6,55,58,12,6,5,4,3,0,38,33,58,2,1
2,90,61,4,4,95,1,1,1,20,24,22,19,1
9,36,5,8,1,45,2,1,0,36,22,73,98,1
2,62,69,2,6,0,3,0,1,90,26,83,36,1
7,3,26,9,1,96,2,3,0,22,34,72,1,0
2,12,37,6,3,93,3,0,0,98,38,18,72,1
4,66,16,7,5,50,2,3,1,97,4,31,59,1
3,70,28,12,3,96,3,0,0,40,6,9,27,0
9,23,38,8,2,24,1,1,0,52,1,57,87,0
7,0,57,4,2,68,0,3,0,7,21,61,28,1
1,5,33,2,6,38,4,4,1,85,29,28,53,1
4,83,26,6,6,5,2,1,0,37,22,36,13,1
4,89,58,4,1,39,0,0,1,32,21,89,57,1
4,0,24,10,1,100,3,3,0,96,1,25,38,1
8,87,45,3,3,51,3,1,1,52,37,94,68,1
8,10,17,13,0,71,5,1,0,93,25,21,6,1
1,71,7,7,2,58,3,0,1,95,11,32,12,1
7,85,30,12,4,25,5,2,1,0,34,69,64,0
6,33,56,6,0,75,5,2,0,54,11,19,58,1
8,4,66,15,5,13,1,1,1,60,38,75,91,1
7,18,17,12,5,98,5,4,1,75,37,81,88,0
1,36,47,10,5,85,3,1,1,49,25,85,62,1
2,71,42,13,2,47,3,3,1,12,33,36,5,0
8,8,70,15,3,19,1,3,0,85,41,99,44,0
4,14,57,4,1,88,1,3,1,57,23,69,84,0
9,23,18,15,0,99,4,0,0,36,40,70,100,0
3,68,71,0,3,92,0,4,0,18,34,7,61,1
2,72,53,10,2,15,5,0,0,38,30,19,80,0
2,64,33,6,5,35,4,1,1,2,25,42,18,0
5,35,46,2,1,86,1,1,0,36,27,39,38,0
8,8,62,10,4,45,2,2,0,13,28,64,11,0
9,12,61,13,5,35,3,3,1,8,8,72,96,1
7,28,56,6,6,16,3,0,1,41,0,91,16,0
2,20,68,3,0,77,4,3,1,28,26,84,73,1
2,9,5,3,3,31,4,1,1,32,33,21,22,1
8,3,28,4,1,56,1,3,1,48,5,31,24,0
3,27,28,8,6,39,4,4,0,94,12,4,96,0
2,91,40,1,5,19,2,4,0,17,3,33,23,1
9,58,71,15,0,47,4,4,1,8,21,86,21,0
2,67,18,0,1,71,2,2,0,79,19,89,71,1
7,53,63,9,4,66,1,2,1,5,33,65,50,1
8,40,53,1,6,55,0,0,1,70,8,88,0,0
9,14,6,15,1,78,4,3,0,90,22,37,95,1
8,79,21,1,6,61,5,2,1,7,22,26,29,0
3,79,54,8,0,85,5,3,0,82,41,38,35,0
8,56,21,6,3,42,4,1,0,3,27,96,4,1
1,61,25,5,5,63,0,3,0,59,42,28,48,1
1,96,7,0,4,87,2,1,0,27,41,17,92,1
2,3,1,3,4,7,0,0,0,60,38,48,59,0
8,47,38,7,0,75,3,2,1,28,9,47,72,0
6,9,61,11,2,3,5,0,1,37,40,20,10,1
4,49,61,7,2,85,4,1,0,46,15,38,100,1
5,6,21,12,0,50,4,1,1,73,8,38,8,1
2,73,16,11,3,36,0,2,0,72,20,49,38,1
7,29,5,4,5,59,5,4,0,16,4,22,22,0
9,43,52,4,0,18,3,4,1,1,41,50,66,1
4,29,45,8,1,82,2,2,0,16,1,50,60,0
8,56,2,14,2,1,4,3,1,84,12,49,43,1
4,91,29,14,3,97,2,0,0,1,11,49,14,1
2,52,71,4,1,32,4,0,0,28,11,45,31,0
4,29,61,0,6,43,4,3,0,58,36,12,73,1
7,4,74,12,4,45,1,1,1,59,13,98,39,1
2,31,64,11,6,48,1,1,1,90,5,10,100,1
8,71,3,14,3,34,5,4,1,77,4,28,29,0
4,24,52,1,2,88,4,1,0,74,22,80,21,0
1,83,53,3,3,89,4,2,0,22,35,36,49,1
4,97,30,0,6,82,4,1,0,50,43,26,61,1
4,5,35,9,6,51,5,4,0,68,27,86,56,1
8,71,47,12,3,13,0,1,0,9,16,94,52,1
4,71,6,8,3,84,4,4,1,58,13,99,78,1
7,7,53,9,6,79,0,4,1,31,40,45,27,1
3,24,13,9,1,6,4,4,0,94,22,49,51,0
7,78,49,8,4,100,0,1,0,93,35,87,100,1
3,24,36,5,6,74,5,3,1,67,2,97,12,0
8,56,58,14,3,76,1,2,1,20,12,9,63,0
5,51,23,14,3,57,3,3,0,88,28,74,76,1
9,76,6,8,4,78,0,2,0,26,15,61,88,1
8,49,25,4,1,12,5,0,1,78,27,90,88,0
4,93,71,9,4,41,0,4,1,71,37,18,78,1
9,59,74,0,0,23,4,2,1,67,9,55,17,0
3,64,11,9,3,4,1,2,0,30,12,11,87,1
